Identifier,Forename,Surname,BirthDate,BirthPlace,DeathDate,DeathPlace
"dsi69","Dschuang","Dsï","-0369","","-0289",""
"swi67","Jonathan","Swift","1667-11-30","Dublin","1745-10-19","Dublin"
"cha41","Nicolas","Chamfort","1741-04-06","Clermont-Ferrand","1794-04-13","Paris"
"rit76","Joachim Wilhelm","Ritter","1776-12-16","Samitz bei Haynau, Schlesien","1810-01-23","München"
"boe86","Ludwig","Börne","1786-05-06","Frankfurt/Main","1837-02-12","Paris"
"bab91","Charles","Babbage","1791-12-26","London","1871-10-18","London"
"hei97","Heinrich","Heine","1797-12-13","Düsseldorf","1856-02-17","Paris"
"eme03","Ralph Waldo","Emerson","1803-05-25","Boston/MA","1882-04-27","Concord/MA"
"haw04","Nathaniel","Hawthorne","1804-07-04","Salem/MA","1864-05-19","Plymouth/NH"
"bla05","Auguste","Blanqui","1805-02-08","Puget-Théniers","1881-01-01","Paris"
"wie06","Antoine","Wiertz","1806-02-22","Dinant","1865-06-18","Ixelles"
"poe09","Edgar Allen","Poe","1809-01-19","Boston/MA","1849-10-07","Baltimore/MD"
"bau21","Charles","Baudelaire","1821-04-09","Paris","1867-08-31","Paris"
"kni21","Karl","Knies","1821-03-29","Marburg","1898-08-03","Heidelberg"
"fou29","Victor","Fournel","1829-02-08","Cheppy","1894-07-07","Tessé-la-Madeleine"
"car32","Lewis","Carroll","1832-01-27","Daresbury/Cheshire","1898-01-14","Guildford/Surrey"
"twa35","Mark","Twain","1835-11-30","Florida/MO","1910-04-21","Redding/CT"
"joh40","Rossiter","Johnson","1840-01-27","Rochester, New York","1931","Amagansett, New York"
"may42","Karl","May","1842-02-25","Ernstthal","1912-03-30","Radebeul"
"duc46","Isidore Lucien","Ducasse","1846-04-04","Montevideo","1870-11-24","Paris"
"las48","Kurd","Laßwitz","1848-04-20","Breslau","1910-10-17","Gotha"
"rob48","Albert","Robida","1848-05-14","Compiègne","1926-10-11","Neuilly-sur-Seine"
"ost53","Wilhelm","Ostwald","1853-09-02","Riga","1932-04-04","Großbothen"
"max53","Hudson","Maxim","1853-03-02","Orneville, Maine","1927-05-06","Landing, New Jersey"
"tes56","Nikola","Tesla","1856-07-10","Smiljan","1943-01-07","New York City"
"fre56","Sigmund","Freud","1856-05-06","Freiberg, Mähren","1939-09-23","London"
"bre58","Arthur","Brehmer","1858","Triest","1923","Eichgraben"
"ber59","Henri","Bergson","1859-10-18","Paris","1941-01-04","Paris"
"nau60","Friedrich","Naumann","1860-03-25","Störmthal","1919-08-24","Travemünde"
"sch63","Paul","Scheerbart","1863-01-08","Danzig","1915-10-15","Berlin"
"fri64","Alfred Hermann","Fried","1864-11-11","Wien","1921-05-05","Wien"
"joe64","Karl","Joël","1864-03-27","Jelenia Góra, Polen","1934-07-23","Walenstadt"
"wel66","H. G.","Wells","1866-09-21","Bromley","1946-08-13","London"
"otl68","Paul","Otlet","1868-08-23","Brüssel","1944-12-10","Brüssel"
"wol68","Theodor","Wolff","1868-08-02","Berlin","1943-09-23","Berlin"
"val71","Paul","Valéry","1871-10-30","Sète, Hérault","1945-07-20","Paris"
"slo72","Robert","Sloss","1872","","1920",""
"kra74","Karl","Kraus","1874-04-28","Jičín","1936-06-12","Wien"
"hof74","Hugo von","Hofmansthal","1874-02-01","Wien","1929-07-15","Wien"
"man75","Thomas","Mann","1875-06-06","Lübeck","1955-08-12","Zürich"
"bor77","Rudolf","Borchardt","1877-06-09","Königsberg","1945-01-10","Trins/Tirol"
"doe78","Alfred","Döblin","1878-08-10","Stettin","1957-06-26","Emmendingen"
"for79","E. M.","Forster","1879-01-01","Marylebone, Middlesex","1970-06-07","Coventry, Warwickshire"
"hes80","Franz","Hessel","1880-11-21","Stettin, Polen","1941-01-06","Sanary-sur-Mer"
"gol80","Moritz","Goldstein","1880-03-27","Berlin","1977-09-03","New York City"
"gol81","Emanuel","Goldberg","1881-08-31","Moskau","1970-09-13","Tel Aviv"
"zwe81","Stefan","Zweig","1881-11-28","Wien","1942-02-22","Petrópolis"
"cha81","Pierre Teilhard de","Chardin","1881-05-01","Orcines","1955-04-10","New York City"
"bro81","William","Brown","1881-12-05","","1952-05-17",""
"les82","Moritz Ernst","Lesser","1882","Berlin","1958","Lisboa"
"bal84","Béla","Balázs","1884-08-04","Szeged","1949-05-17","Budapest"
"duc87","Marcel","Duchamp","1887-07-28","Blainville-Crevon","1968-10-02","Neuilly-sur-Seine"
"hoe88","Walter","Hösterey","1888-05-24","Elbersfeld","1966-12-09","Hamburg"
"bus90","Vannevar","Bush","1890-03-11","Everett/MA","1974-06-28","Belmont/MA"
"lis90","El","Lissitzky","1890-11-23","Potschinok","1941-12-30","Moskau"
"ben92","Walter","Benjamin","1892-07-15","Berlin","1940-09-26","Portbou"
"kap92","Ludwig","Kapeller","1892-12-22","Wien","1967","XXX"
"pis93","Erwin","Piscator","1893-12-17","Ulm","1966-03-30","Starnberg"
"zie94","Fritz","Zielesch","1894-06-04","Lehnitz","1971-02-04","XXX"
"bri94","Suzanne","Briet","1894-02-01","Paris","1989-02-13","Paris"
"bar95","Ferdinand","Barlog","1895-10-14","Berlin","1955-07-06","Columbia, South Carolina"
"lei96","Will F.","Jenkins","1896-06-16","Norfolk/VA","1975-06-08","Gloucester Courthouse/VA"
"dar69","Harry Grant","Dart","1896","","1938",""
"dav96","Watson","Davis","1896-04-29","Washington/DC","1967-06-27","Washington/DC"
"bre96","André","Breton","1896-02-18","Tinchebray/Orne","1966-09-28","Paris"
"ara97","Louis","Aragon","1897-10-03","Paris","1982-12-24","Paris"
"gir97","Charles","Girod","1897","","1945",""
"sch97","Gershom","Scholem","1897-12-05","Berlin","1982-02-21","Jerusalem"
"bin97","Robert C.","Binkley","1897-12-10","Manheim/PA","1940-04-11","Cleveland/OH"
"bre98","Bertolt","Brecht","1898-02-10","Augsburg","1956-08-14","Ost-Berlin"
"mar98","Herbert","Marcuse","1898-07-19","Berlin","1979-07-29","Starnberg"
"kae99","Erich","Kästner","1899-02-23","Dresden","1974-07-29","München"
"bor99","Jorge Luis","Borges","1899-08-24","Buenos Aires","1986-06-14","Genf"
"laz01","Paul F.","Lazarsfeld","1901-02-13","Wien","1976-08-30","New York City"
"ado03","Theodor W.","Adorno","1903-09-11","Frankfurt/Main","1969-08-06","Visp"
"ish04","Christopher","Isherwood","1904-08-26","High Lane, Cheshire","1986-01-04","Santa Monica/CA"
"koe05","Arthur","Koestler","1905-09-05","Budapest","1983-03-01","London"
"bec06","Samuel","Beckett","1906-04-13","Dublin","1989-12-22","Paris"
"are06","Hannah","Arendt","1906-10-14","Hannover","1975-12-04","New York City"
"ber06","Ruth","Berlau","1906-08-24","Kopenhagen","1974-01-15","Ost-Berlin"
"bla07","Maurice","Blanchot","1907-09-22","Devrouze","2003-02-20","Yvelines"
"ber09","Edmund C.","Berkeley","1909-02-22","New York City","1988-03-07","Newton/MA"
"pie10","John R.","Pierce","1910-03-27","Des Moins, Iowa","2002-04-02","Sunnyvale, California"
"man06","Klaus","Mann","1910-11-18","München","1949-05-21","Cannes"
"ben10","Max","Bense","1910-02-07","Straßburg","1990-04-29","Stuttgart"
"tur12","Alan","Turing","1912-06-23","London","1954-07-07","Wilmslow, Cheshire"
"her14","Hermann H.","Fussler","1914-05-15","Philadelphia, Pennsylvania","1997-03-02","Raleigh, North Carolina"
"lic15","J. C. R.","Licklider","1915-03-11","St. Louis, Missouri","1990-06-26","Arlington, Massachusetts"
"dah16","Roald","Dahl","1916-09-13","Llandaff, Cardiff","1990-11-23","Oxford"
"cla17","Arthur C.","Clarke","1917-12-16","Minehead/Somersets","2008-03-19","Colombo"
"ste17","Karl","Steinbuch","1917-06-15","Stuttgart","2005-06-04","Ettlingen"
"blu20","Hans","Blumenberg","1920-07-13","Lübeck","1996-03-28","Altenberge/Steinfurt"
"flu20","Vilém","Flusser","1920-05-12","Prague","1991-11-27",""
"von22","Kurt","Vonnegut","1922-11-11","Indianapolis, Indiana","2007-04-11","New York City"
"wei23","Jospeh","Weizenbaum","1923-01-08","Berlin","2008-03-05","Gröben"
"cer25","Michel de","Certeau","1925-05-17","Chambéry","1986-01-09","Paris"
"eng25","Douglas C.","Engelbart","1925-01-30","Portland, Oregon","2013-07-02","Atherton, Kalifornien"
"ber26","John","Berger","1926-11-05","London","2017-01-02","Antony/Hauts-de-Seine"
"luh27","Niklas","Luhmann","1927-12-08","Lüneburg","1998-11-06","Oerlinghausen"
